lookup_type,age,lookup_value,term_rate
yos,29,33,0.005
yos,29,34,0.005
yos,29,35,0.005
yos,29,36,0.005
yos,29,37,0.005
yos,29,38,0.005
yos,29,39,0.005
yos,29,40,0.005
yos,29,41,0.005
yos,29,42,0.005
yos,29,43,0.005
yos,29,44,0.005
yos,29,45,0.005
yos,29,46,0.005
yos,29,47,0.005
yos,29,48,0.005
yos,29,49,0.005
yos,29,50,0.005
yos,29,51,0.005
yos,29,52,0.005
yos,29,53,0.005
yos,29,54,0.005
yos,29,55,0.005
yos,29,56,0.005
yos,29,57,0.005
yos,29,58,0.005
yos,29,59,0.005
yos,29,60,0.005
yos,29,61,0.005
yos,29,62,0.005
yos,29,63,0.005
yos,29,64,0.005
yos,29,65,0.005
yos,29,66,0.005
yos,29,67,0.005
yos,29,68,0.005
yos,29,69,0.005
yos,29,70,0.005
yos,30,0,0.25
yos,30,1,0.155
yos,30,2,0.1225
yos,30,3,0.1025
yos,30,4,0.0875
yos,30,5,0.0825
yos,30,6,0.0775
yos,30,7,0.07
yos,30,8,0.055
yos,30,9,0.05
yos,30,10,0.0424999999999999
yos,30,11,0.035
yos,30,12,0.0325
yos,30,13,0.0325
yos,30,14,0.0225
yos,30,15,0.0225
yos,30,16,0.0225
yos,30,17,0.02
yos,30,18,0.0175
yos,30,19,0.0175
yos,30,20,0.0175
yos,30,21,0.015
yos,30,22,0.015
yos,30,23,0.0115
yos,30,24,0.0115
yos,30,25,0.01
yos,30,26,0.01
yos,30,27,0.009
yos,30,28,0.0065
yos,30,29,0.005
yos,30,30,0.005
yos,30,31,0.005
yos,30,32,0.005
yos,30,33,0.005
yos,30,34,0.005
yos,30,35,0.005
yos,30,36,0.005
yos,30,37,0.005
yos,30,38,0.005
yos,30,39,0.005
yos,30,40,0.005
yos,30,41,0.005
yos,30,42,0.005
yos,30,43,0.005
yos,30,44,0.005
yos,30,45,0.005
yos,30,46,0.005
yos,30,47,0.005
yos,30,48,0.005
yos,30,49,0.005
yos,30,50,0.005
yos,30,51,0.005
yos,30,52,0.005
yos,30,53,0.005
yos,30,54,0.005
yos,30,55,0.005
yos,30,56,0.005
yos,30,57,0.005
yos,30,58,0.005
yos,30,59,0.005
yos,30,60,0.005
yos,30,61,0.005
yos,30,62,0.005
yos,30,63,0.005
yos,30,64,0.005
yos,30,65,0.005
yos,30,66,0.005
yos,30,67,0.005
yos,30,68,0.005
yos,30,69,0.005
yos,30,70,0.005
yos,31,0,0.25
yos,31,1,0.155
yos,31,2,0.1225
yos,31,3,0.1025
yos,31,4,0.0875
yos,31,5,0.0825
yos,31,6,0.0775
yos,31,7,0.07
yos,31,8,0.055
yos,31,9,0.05
yos,31,10,0.0424999999999999
yos,31,11,0.035
yos,31,12,0.0325
yos,31,13,0.0325
yos,31,14,0.0225
yos,31,15,0.0225
yos,31,16,0.0225
yos,31,17,0.02
yos,31,18,0.0175
yos,31,19,0.0175
yos,31,20,0.0175
yos,31,21,0.015
yos,31,22,0.015
yos,31,23,0.0115
yos,31,24,0.0115
yos,31,25,0.01
yos,31,26,0.01
yos,31,27,0.009
yos,31,28,0.0065
yos,31,29,0.005
yos,31,30,0.005
yos,31,31,0.005
yos,31,32,0.005
yos,31,33,0.005
yos,31,34,0.005
yos,31,35,0.005
yos,31,36,0.005
yos,31,37,0.005
yos,31,38,0.005
yos,31,39,0.005
yos,31,40,0.005
yos,31,41,0.005
yos,31,42,0.005
yos,31,43,0.005
yos,31,44,0.005
yos,31,45,0.005
yos,31,46,0.005
yos,31,47,0.005
