age,gender,member_type,table,qx
95,female,retiree,txtrs_av_av_first,0.21504010148226269
96,female,retiree,txtrs_av_av_first,0.23832897290877672
97,female,retiree,txtrs_av_av_first,0.2621620253390617
98,female,retiree,txtrs_av_av_first,0.28571159155893733
99,female,retiree,txtrs_av_av_first,0.3079503128835695
100,female,retiree,txtrs_av_av_first,0.3276858806693911
101,female,retiree,txtrs_av_av_first,0.34473919063047237
102,female,retiree,txtrs_av_av_first,0.3599443969987338
103,female,retiree,txtrs_av_av_first,0.37364417782742726
104,female,retiree,txtrs_av_av_first,0.38630050317487435
105,female,retiree,txtrs_av_av_first,0.39847657106362255
106,female,retiree,txtrs_av_av_first,0.4108251130120255
107,female,retiree,txtrs_av_av_first,0.42408612135128826
108,female,retiree,txtrs_av_av_first,0.43909675947616156
109,female,retiree,txtrs_av_av_first,0.45681642456114374
110,female,retiree,txtrs_av_av_first,0.47837084770164273
111,female,retiree,txtrs_av_av_first,0.5042600713786562
112,female,retiree,txtrs_av_av_first,0.5343604710749731
113,female,retiree,txtrs_av_av_first,0.5690711669293351
114,female,retiree,txtrs_av_av_first,0.6088551744393739
115,female,retiree,txtrs_av_av_first,0.6542432182528214
116,female,retiree,txtrs_av_av_first,0.7073921984735225
117,female,retiree,txtrs_av_av_first,0.7676870488430598
118,female,retiree,txtrs_av_av_first,0.8359373323837505
119,female,retiree,txtrs_av_av_first,0.9130434261581504
120,female,retiree,txtrs_av_av_first,1.0
18,male,retiree,txtrs_av_av_first,0.00035
19,male,retiree,txtrs_av_av_first,0.00036
20,male,retiree,txtrs_av_av_first,0.00034999999999998276
21,male,retiree,txtrs_av_av_first,0.00034999999999998276
22,male,retiree,txtrs_av_av_first,0.00034999999999998276
23,male,retiree,txtrs_av_av_first,0.00034999999999998276
24,male,retiree,txtrs_av_av_first,0.00034999999999998276
25,male,retiree,txtrs_av_av_first,0.00034999999999998276
26,male,retiree,txtrs_av_av_first,0.00034999999999998276
27,male,retiree,txtrs_av_av_first,0.00034999999999998276
28,male,retiree,txtrs_av_av_first,0.00034999999999998276
29,male,retiree,txtrs_av_av_first,0.00034999999999998276
30,male,retiree,txtrs_av_av_first,0.00034999999999998276
31,male,retiree,txtrs_av_av_first,0.00034999999999998276
32,male,retiree,txtrs_av_av_first,0.00034999999999998276
33,male,retiree,txtrs_av_av_first,0.00034999999999998276
34,male,retiree,txtrs_av_av_first,0.0003706233151409543
35,male,retiree,txtrs_av_av_first,0.0004094912443873789
36,male,retiree,txtrs_av_av_first,0.0004567733038986381
37,male,retiree,txtrs_av_av_first,0.0005120369697081405
38,male,retiree,txtrs_av_av_first,0.000574178250291685
39,male,retiree,txtrs_av_av_first,0.000641116969429219
40,male,retiree,txtrs_av_av_first,0.0007095340222527406
41,male,retiree,txtrs_av_av_first,0.0007818020898198774
42,male,retiree,txtrs_av_av_first,0.000863982116272365
43,male,retiree,txtrs_av_av_first,0.0009573681356805573
44,male,retiree,txtrs_av_av_first,0.0010634117133019162
45,male,retiree,txtrs_av_av_first,0.0011837340273414692
46,male,retiree,txtrs_av_av_first,0.0013201370236771515
47,male,retiree,txtrs_av_av_first,0.0014746129488631533
48,male,retiree,txtrs_av_av_first,0.0016493514016311605
49,male,retiree,txtrs_av_av_first,0.0018467428614607595
50,male,retiree,txtrs_av_av_first,0.0020693774593364823
51,male,retiree,txtrs_av_av_first,0.002328735747496215
52,male,retiree,txtrs_av_av_first,0.0026377098699111303
53,male,retiree,txtrs_av_av_first,0.003000889789870812
54,male,retiree,txtrs_av_av_first,0.003421993360426808
55,male,retiree,txtrs_av_av_first,0.003903051327623082
56,male,retiree,txtrs_av_av_first,0.004443398193278642
57,male,retiree,txtrs_av_av_first,0.005038508149459385
58,male,retiree,txtrs_av_av_first,0.005678770851171752
59,male,retiree,txtrs_av_av_first,0.0063483704233981576
60,male,retiree,txtrs_av_av_first,0.007024502946984385
61,male,retiree,txtrs_av_av_first,0.007690702380340571
62,male,retiree,txtrs_av_av_first,0.008351440743792474
63,male,retiree,txtrs_av_av_first,0.009003303135879933
64,male,retiree,txtrs_av_av_first,0.009655435626876345
65,male,retiree,txtrs_av_av_first,0.010344846342907901
66,male,retiree,txtrs_av_av_first,0.011070685717194943
67,male,retiree,txtrs_av_av_first,0.011884355972834897
68,male,retiree,txtrs_av_av_first,0.012809368135245438
69,male,retiree,txtrs_av_av_first,0.013874942968194423
70,male,retiree,txtrs_av_av_first,0.015168341718932053
71,male,retiree,txtrs_av_av_first,0.016739004559858633
72,male,retiree,txtrs_av_av_first,0.01860782496099409
73,male,retiree,txtrs_av_av_first,0.02085451825445425
74,male,retiree,txtrs_av_av_first,0.023478645150499244
75,male,retiree,txtrs_av_av_first,0.02657529128004001
76,male,retiree,txtrs_av_av_first,0.030166749727320353
77,male,retiree,txtrs_av_av_first,0.03425611374110646
78,male,retiree,txtrs_av_av_first,0.03894665540490956
79,male,retiree,txtrs_av_av_first,0.044172826349122535
80,male,retiree,txtrs_av_av_first,0.050021450183082766
81,male,retiree,txtrs_av_av_first,0.05643615525152045
82,male,retiree,txtrs_av_av_first,0.06400803790604949
83,male,retiree,txtrs_av_av_first,0.07270459579343938
84,male,retiree,txtrs_av_av_first,0.08267267273070608
85,male,retiree,txtrs_av_av_first,0.09407114725081406
86,male,retiree,txtrs_av_av_first,0.1067138812375359
87,male,retiree,txtrs_av_av_first,0.12063608403505945
88,male,retiree,txtrs_av_av_first,0.13584582370250198
89,male,retiree,txtrs_av_av_first,0.1518116571558353
90,male,retiree,txtrs_av_av_first,0.16829641576211782
91,male,retiree,txtrs_av_av_first,0.1867778884801214
92,male,retiree,txtrs_av_av_first,0.20837683924680267
93,male,retiree,txtrs_av_av_first,0.23300432026689988
94,male,retiree,txtrs_av_av_first,0.2603666040374325
95,male,retiree,txtrs_av_av_first,0.2889280971306912
96,male,retiree,txtrs_av_av_first,0.318516817564741
